,cam,ImagePath,badImage,motion,grayscale
345,15,2017_SBU4_04240097,False,False,False
346,15,2017_SBU4_03280235,False,False,False
347,15,2017_SBU4_06240957,False,False,True
348,15,2017_SBU4_06190277,False,True,False
349,15,2017_SBU4_05070580,False,False,False
350,15,2017_SBU4_05250776,False,False,True
351,15,2017_SBU4_05280420,False,False,False
352,15,2017_SBU4_04100597,False,False,True
353,15,2017_SBU4_06160812,False,False,False
354,15,2017_SBU4_06030945,False,True,False
355,15,2017_SBU4_03140817,False,True,False
356,15,2017_SBU4_02250923,False,False,False
357,15,2017_SBU4_06030943,False,False,False
358,15,2017_SBU4_05230409,False,False,True
359,15,2017_SBU4_04180432,False,False,True
360,15,2017_SBU4_02050895,False,False,False
361,15,2017_SBU4_06050297,False,False,False
362,15,2017_SBU4_04270361,False,False,True
363,15,2017_SBU4_04190576,False,False,False
364,15,2017_SBU4_05120123,False,True,False
365,15,2017_SBU4_01300248,False,False,True
366,15,2017_SBU4_01310366,False,False,True
367,15,2017_SBU4_05210169,False,False,True
368,15,2017_SBU4_06110143,False,False,False
369,15,2017_SBU4_04080416,False,False,False
370,15,2017_SBU4_04010634,False,False,True
371,15,2017_SBU4_05170716,False,False,True
372,15,2017_SBU4_07090390,False,False,True
373,15,2017_SBU4_06260262,False,True,True
374,15,2017_SBU4_05310248,False,True,False
375,15,2017_SBU4_03130728,False,False,True
376,15,2017_SBU4_03290353,False,False,False
377,15,2017_SBU4_03150927,False,False,False
378,15,2017_SBU4_03310604,False,False,True
379,15,2017_SBU4_01310424,False,False,True
380,15,2017_SBU4_03040712,False,True,False
381,15,2017_SBU4_07170431,False,False,False
382,15,2017_SBU4_05160534,False,False,False
383,15,2017_SBU4_03070097,False,False,True
384,15,2017_SBU4_05260174,False,False,True
385,15,2017_SBU4_03270183,False,False,True
386,15,2017_SBU4_03140788,False,False,False
387,15,2017_SBU4_06220822,False,False,True
388,15,2017_SBU4_06080671,False,False,False
389,15,2017_SBU4_05020004,False,False,True
390,15,2017_SBU4_05250917,False,True,False
391,15,2017_SBU4_05140391,False,False,True
392,15,2017_SBU4_06030822,False,False,False
393,15,2017_SBU4_03170067,False,False,True
394,15,2017_SBU4_01310391,False,False,False
395,15,2017_SBU4_04080414,False,False,False
396,15,2017_SBU4_03080122,False,False,True
397,15,2017_SBU4_02280309,False,False,False
398,15,2017_SBU4_04180491,False,False,False
399,15,2017_SBU4_03220623,False,False,False
400,15,2017_SBU4_05180882,False,True,False
401,15,2017_SBU4_03150932,False,False,True
402,15,2017_SBU4_05260132,False,True,False
403,15,2017_SBU4_04220891,False,False,False
404,15,2017_SBU4_06280114,False,False,False
405,15,2017_SBU4_04090484,False,False,False
406,15,2017_SBU4_02260060,False,False,False
407,15,2017_SBU4_04050099,False,False,False
408,15,2017_SBU4_07050905,False,True,False
409,15,2017_SBU4_05250745,False,True,True
410,15,2017_SBU4_05280531,False,False,False
411,15,2017_SBU4_04260309,False,False,False
412,15,2017_SBU4_02140760,False,False,True
413,15,2017_SBU4_06060416,False,False,True
414,15,2017_SBU4_05120148,False,False,False
415,15,2017_SBU4_04020740,False,False,True
416,15,2017_SBU4_05310117,False,True,False
417,15,2017_SBU4_07080268,False,False,False
418,15,2017_SBU4_02240836,False,False,False
419,15,2017_SBU4_07050916,False,False,False
420,15,2017_SBU4_02110452,False,False,True
421,15,2017_SBU4_06060380,False,False,False
422,15,2017_SBU4_06080743,False,True,False
423,15,2017_SBU4_02030718,False,False,True
424,15,2017_SBU4_06300339,False,False,False
425,15,2017_SBU4_05150417,False,False,True
426,15,2017_SBU4_04070334,False,False,False
427,15,2017_SBU4_06020656,False,True,False
428,15,2017_SBU4_05140387,False,False,False
429,15,2017_SBU4_05230482,False,True,False
430,15,2017_SBU4_02020642,False,False,True
431,15,2017_SBU4_06110200,False,False,False
432,15,2017_SBU4_02200391,False,False,True
433,15,2017_SBU4_06160723,False,False,True
434,15,2017_SBU4_02190364,False,False,True
